f127.0.0.1:2222,127.0.0.1:1111	0	1	0	0	0
f127.0.0.1:2222,127.0.0.1:1111	5	0
f127.0.0.1:1111,127.0.0.1:2222	5	1	0	0	1
f127.0.0.1:1111,127.0.0.1:2222	6	0
f127.0.0.1:2222,127.0.0.1:1111	6	1	0	0	2
f127.0.0.1:2222,127.0.0.1:1111	12	0
f127.0.0.1:1111,127.0.0.1:2222	12	1	1	0	3
f127.0.0.1:1111,127.0.0.1:2222	17	0
f127.0.0.1:2222,127.0.0.1:1111	17	1	0	1	4
f127.0.0.1:2222,127.0.0.1:1111	23	0
f127.0.0.1:1111,127.0.0.1:2222	23	1	2	0	3
f127.0.0.1:1111,127.0.0.1:2222	23	2	3	0	3
f127.0.0.1:1111,127.0.0.1:2222	27	1
f127.0.0.1:2222,127.0.0.1:1111	27	2	0	2	4
f127.0.0.1:1111,127.0.0.1:2222	31	1
f127.0.0.1:2222,127.0.0.1:1111	31	2	0	3	4
f127.0.0.1:2222,127.0.0.1:1111	33	1
f127.0.0.1:1111,127.0.0.1:2222	33	2	4	0	3
f127.0.0.1:1111,127.0.0.1:2222	33	1
f127.0.0.1:1111,127.0.0.1:2222	33	-1	4	0
f127.0.0.1:1111,127.0.0.1:2222	33	2	5	0	3
f127.0.0.1:1111,127.0.0.1:2222	37	1
f127.0.0.1:2222,127.0.0.1:1111	38	2	0	3	4
f127.0.0.1:2222,127.0.0.1:1111	42	1
f127.0.0.1:1111,127.0.0.1:2222	42	2	6	0	3
f127.0.0.1:1111,127.0.0.1:2222	42	3	7	0	3
f127.0.0.1:1111,127.0.0.1:2222	42	2
f127.0.0.1:1111,127.0.0.1:2222	42	-1	7	0
f127.0.0.1:1111,127.0.0.1:2222	47	1
f127.0.0.1:2222,127.0.0.1:1111	47	2	0	3	4
f127.0.0.1:2222,127.0.0.1:1111	49	1
f127.0.0.1:2222,127.0.0.1:1111	58	0
f127.0.0.1:1111,127.0.0.1:2222	1042	1	4	0	3
f127.0.0.1:1111,127.0.0.1:2222	1047	0
f127.0.0.1:2222,127.0.0.1:1111	1047	1	0	4	4
f127.0.0.1:2222,127.0.0.1:1111	1052	0
f127.0.0.1:1111,127.0.0.1:2222	1053	1	5	0	3
f127.0.0.1:1111,127.0.0.1:2222	1053	2	6	0	3
f127.0.0.1:1111,127.0.0.1:2222	1057	1
f127.0.0.1:2222,127.0.0.1:1111	1057	2	0	5	4
f127.0.0.1:1111,127.0.0.1:2222	1061	1
f127.0.0.1:2222,127.0.0.1:1111	1061	2	0	6	4
f127.0.0.1:2222,127.0.0.1:1111	1063	1
f127.0.0.1:1111,127.0.0.1:2222	1063	2	7	0	3
f127.0.0.1:1111,127.0.0.1:2222	1067	1
f127.0.0.1:2222,127.0.0.1:1111	1067	2	0	7	4
f127.0.0.1:2222,127.0.0.1:1111	1072	1
f127.0.0.1:1111,127.0.0.1:2222	1072	2	8	0	3
f127.0.0.1:1111,127.0.0.1:2222	1072	3	9	0	3
f127.0.0.1:1111,127.0.0.1:2222	1076	2
f127.0.0.1:2222,127.0.0.1:1111	1076	3	0	8	4
f127.0.0.1:2222,127.0.0.1:1111	1078	2
f127.0.0.1:1111,127.0.0.1:2222	1078	3	10	0	3
f127.0.0.1:1111,127.0.0.1:2222	1080	2
f127.0.0.1:2222,127.0.0.1:1111	1080	3	0	9	4
f127.0.0.1:1111,127.0.0.1:2222	1086	2
f127.0.0.1:2222,127.0.0.1:1111	1086	3	0	10	4
f127.0.0.1:2222,127.0.0.1:1111	1087	2
f127.0.0.1:1111,127.0.0.1:2222	1087	3	11	0	3
f127.0.0.1:2222,127.0.0.1:1111	1091	2
f127.0.0.1:1111,127.0.0.1:2222	1091	3	12	0	3
f127.0.0.1:1111,127.0.0.1:2222	1091	4	13	0	3
f127.0.0.1:1111,127.0.0.1:2222	1091	3
f127.0.0.1:2222,127.0.0.1:1111	1092	4	0	11	4
f127.0.0.1:1111,127.0.0.1:2222	1099	3
f127.0.0.1:2222,127.0.0.1:1111	1099	4	0	12	4
f127.0.0.1:2222,127.0.0.1:1111	1103	3
f127.0.0.1:2222,127.0.0.1:1111	1103	2
f127.0.0.1:1111,127.0.0.1:2222	1103	3	14	0	3
f127.0.0.1:1111,127.0.0.1:2222	1103	2
f127.0.0.1:1111,127.0.0.1:2222	1103	3	15	0	3
f127.0.0.1:1111,127.0.0.1:2222	1103	2
f127.0.0.1:1111,127.0.0.1:2222	1103	-1	15	0
f127.0.0.1:2222,127.0.0.1:1111	1103	3	0	13	4
f127.0.0.1:1111,127.0.0.1:2222	1111	2
f127.0.0.1:2222,127.0.0.1:1111	1111	3	0	14	4
f127.0.0.1:2222,127.0.0.1:1111	1111	2
f127.0.0.1:2222,127.0.0.1:1111	1111	-1	0	14
f127.0.0.1:2222,127.0.0.1:1111	1116	1
f127.0.0.1:2222,127.0.0.1:1111	1117	0
f127.0.0.1:1111,127.0.0.1:2222	1117	1	16	0	3
f127.0.0.1:1111,127.0.0.1:2222	1117	2	17	0	3
f127.0.0.1:1111,127.0.0.1:2222	1117	3	18	0	3
f127.0.0.1:1111,127.0.0.1:2222	1121	2
f127.0.0.1:2222,127.0.0.1:1111	1121	3	0	14	4
f127.0.0.1:2222,127.0.0.1:1111	1121	2
f127.0.0.1:2222,127.0.0.1:1111	1121	-1	0	14
f127.0.0.1:1111,127.0.0.1:2222	1125	1
f127.0.0.1:2222,127.0.0.1:1111	1125	2	0	14	4
f127.0.0.1:1111,127.0.0.1:2222	1129	1
f127.0.0.1:2222,127.0.0.1:1111	1129	2	0	14	4
f127.0.0.1:2222,127.0.0.1:1111	1131	1
f127.0.0.1:1111,127.0.0.1:2222	1131	2	19	0	3
f127.0.0.1:1111,127.0.0.1:2222	1135	1
f127.0.0.1:2222,127.0.0.1:1111	1135	2	0	14	4
f127.0.0.1:2222,127.0.0.1:1111	1140	1
f127.0.0.1:2222,127.0.0.1:1111	1146	0
f127.0.0.1:1111,127.0.0.1:2222	2131	1	15	0	3
f127.0.0.1:1111,127.0.0.1:2222	2135	0
f127.0.0.1:2222,127.0.0.1:1111	2135	1	0	15	4
f127.0.0.1:2222,127.0.0.1:1111	2141	0
f127.0.0.1:1111,127.0.0.1:2222	2141	1	16	0	3
f127.0.0.1:1111,127.0.0.1:2222	2141	2	17	0	3
f127.0.0.1:1111,127.0.0.1:2222	2145	1
f127.0.0.1:2222,127.0.0.1:1111	2145	2	0	16	4
f127.0.0.1:1111,127.0.0.1:2222	2149	1
f127.0.0.1:2222,127.0.0.1:1111	2149	2	0	17	4
