f127.0.0.1:2222,127.0.0.1:1111	0	1	0	0	0
f127.0.0.1:2222,127.0.0.1:1111	4	0
f127.0.0.1:1111,127.0.0.1:2222	5	1	0	0	1
f127.0.0.1:1111,127.0.0.1:2222	5	0
f127.0.0.1:2222,127.0.0.1:1111	6	1	0	0	2
f127.0.0.1:2222,127.0.0.1:1111	10	0
f127.0.0.1:1111,127.0.0.1:2222	11	1	1	0	3
f127.0.0.1:1111,127.0.0.1:2222	15	0
f127.0.0.1:2222,127.0.0.1:1111	15	1	1223750887	1	4
f127.0.0.1:2222,127.0.0.1:1111	19	0
f127.0.0.1:1111,127.0.0.1:2222	20	1	2	0	3
f127.0.0.1:1111,127.0.0.1:2222	20	2	3	0	3
f127.0.0.1:1111,127.0.0.1:2222	24	1
f127.0.0.1:2222,127.0.0.1:1111	24	2	1223750887	2	4
f127.0.0.1:1111,127.0.0.1:2222	27	1
f127.0.0.1:2222,127.0.0.1:1111	28	2	1223750887	3	4
f127.0.0.1:2222,127.0.0.1:1111	28	1
f127.0.0.1:1111,127.0.0.1:2222	28	2	4	0	3
f127.0.0.1:1111,127.0.0.1:2222	28	1
f127.0.0.1:1111,127.0.0.1:2222	28	-1	4	0
f127.0.0.1:1111,127.0.0.1:2222	28	2	5	0	3
f127.0.0.1:1111,127.0.0.1:2222	32	1
f127.0.0.1:2222,127.0.0.1:1111	32	2	1223750887	3	4
f127.0.0.1:2222,127.0.0.1:1111	36	1
f127.0.0.1:1111,127.0.0.1:2222	36	2	6	0	3
f127.0.0.1:1111,127.0.0.1:2222	36	3	7	0	3
f127.0.0.1:1111,127.0.0.1:2222	36	2
f127.0.0.1:1111,127.0.0.1:2222	36	-1	7	0
f127.0.0.1:1111,127.0.0.1:2222	40	1
f127.0.0.1:2222,127.0.0.1:1111	40	2	1223750887	3	4
f127.0.0.1:2222,127.0.0.1:1111	41	1
f127.0.0.1:2222,127.0.0.1:1111	49	0
f127.0.0.1:1111,127.0.0.1:2222	1036	1	4	0	3
f127.0.0.1:1111,127.0.0.1:2222	1040	0
f127.0.0.1:2222,127.0.0.1:1111	1040	1	1223750887	4	4
f127.0.0.1:2222,127.0.0.1:1111	1045	0
f127.0.0.1:1111,127.0.0.1:2222	1045	1	5	0	3
f127.0.0.1:1111,127.0.0.1:2222	1045	2	6	0	3
f127.0.0.1:1111,127.0.0.1:2222	1049	1
f127.0.0.1:2222,127.0.0.1:1111	1049	2	1223750887	5	4
f127.0.0.1:1111,127.0.0.1:2222	1053	1
f127.0.0.1:2222,127.0.0.1:1111	1053	2	1223750887	6	4
f127.0.0.1:2222,127.0.0.1:1111	1053	1
f127.0.0.1:1111,127.0.0.1:2222	1053	2	7	0	3
f127.0.0.1:1111,127.0.0.1:2222	1057	1
f127.0.0.1:2222,127.0.0.1:1111	1057	2	1223750887	7	4
f127.0.0.1:2222,127.0.0.1:1111	1061	1
f127.0.0.1:1111,127.0.0.1:2222	1061	2	8	0	3
f127.0.0.1:1111,127.0.0.1:2222	1061	3	9	0	3
f127.0.0.1:1111,127.0.0.1:2222	1065	2
f127.0.0.1:2222,127.0.0.1:1111	1065	3	1223750887	8	4
f127.0.0.1:2222,127.0.0.1:1111	1066	2
f127.0.0.1:1111,127.0.0.1:2222	1066	3	10	0	3
f127.0.0.1:1111,127.0.0.1:2222	1069	2
f127.0.0.1:2222,127.0.0.1:1111	1069	3	1223750887	9	4
f127.0.0.1:1111,127.0.0.1:2222	1074	2
f127.0.0.1:2222,127.0.0.1:1111	1074	1
f127.0.0.1:1111,127.0.0.1:2222	1074	2	11	0	3
f127.0.0.1:2222,127.0.0.1:1111	1074	3	1223750887	10	4
f127.0.0.1:2222,127.0.0.1:1111	1078	2
f127.0.0.1:1111,127.0.0.1:2222	1078	3	12	0	3
f127.0.0.1:1111,127.0.0.1:2222	1078	2
f127.0.0.1:1111,127.0.0.1:2222	1078	3	13	0	3
f127.0.0.1:2222,127.0.0.1:1111	1078	4	1223750887	11	4
f127.0.0.1:2222,127.0.0.1:1111	1082	3
f127.0.0.1:1111,127.0.0.1:2222	1082	4	14	0	3
f127.0.0.1:1111,127.0.0.1:2222	1086	3
f127.0.0.1:1111,127.0.0.1:2222	1086	2
f127.0.0.1:2222,127.0.0.1:1111	1086	3	1223750887	12	4
f127.0.0.1:2222,127.0.0.1:1111	1086	4	1223750887	13	4
f127.0.0.1:2222,127.0.0.1:1111	1086	3
f127.0.0.1:2222,127.0.0.1:1111	1086	-1	1223750887	13
f127.0.0.1:2222,127.0.0.1:1111	1087	2
f127.0.0.1:1111,127.0.0.1:2222	1087	3	15	0	3
f127.0.0.1:1111,127.0.0.1:2222	1094	2
f127.0.0.1:2222,127.0.0.1:1111	1094	3	1223750887	14	4
f127.0.0.1:2222,127.0.0.1:1111	1094	2
f127.0.0.1:2222,127.0.0.1:1111	1094	-1	1223750887	14
f127.0.0.1:1111,127.0.0.1:2222	1094	1
f127.0.0.1:2222,127.0.0.1:1111	1094	0
f127.0.0.1:1111,127.0.0.1:2222	1094	1	16	0	3
f127.0.0.1:2222,127.0.0.1:1111	1095	2	1223750887	15	4
f127.0.0.1:1111,127.0.0.1:2222	1099	1
f127.0.0.1:2222,127.0.0.1:1111	1099	2	1223750887	16	4
f127.0.0.1:2222,127.0.0.1:1111	1099	1
f127.0.0.1:1111,127.0.0.1:2222	1099	2	17	0	3
f127.0.0.1:1111,127.0.0.1:2222	1099	1
f127.0.0.1:1111,127.0.0.1:2222	1099	-1	17	0
f127.0.0.1:1111,127.0.0.1:2222	1099	2	18	0	3
f127.0.0.1:1111,127.0.0.1:2222	1099	3	19	0	3
f127.0.0.1:1111,127.0.0.1:2222	1099	4	20	0	3
f127.0.0.1:1111,127.0.0.1:2222	1103	3
f127.0.0.1:2222,127.0.0.1:1111	1103	4	1223750887	16	4
f127.0.0.1:1111,127.0.0.1:2222	1107	3
f127.0.0.1:2222,127.0.0.1:1111	1107	4	1223750887	16	4
f127.0.0.1:2222,127.0.0.1:1111	1107	3
f127.0.0.1:1111,127.0.0.1:2222	1107	4	21	0	3
